run_name,title,dataset_dir,generated_dir,png,pdf,real_shape,synthetic_shape,real_counts,synthetic_counts,channels,colors
hand_stats_ica18_ep10,Hand + stats + ICA18 + epoch10,artifacts/pamap2_sdforger_dataset_2act_hand_stats_ica18,outputs/generated/gemma_2act_hand_stats_ica18_ep10,outputs/plots/selected_ica_result_overlays/hand_stats_ica18_ep10_standardized_overlay_purple.png,outputs/plots/selected_ica_result_overlays/hand_stats_ica18_ep10_standardized_overlay_purple.pdf,"[305, 256, 6]","[294, 256, 6]","{'walking': 190, 'running': 115}","{'walking': 188, 'running': 106}","['hand_acc_16g_x', 'hand_acc_16g_y', 'hand_acc_16g_z', 'hand_gyro_x', 'hand_gyro_y', 'hand_gyro_z']","{'real_walking': '#7b3fb2', 'real_running': '#2f7d32', 'synthetic_walking': '#2c7fb8', 'synthetic_running': '#f28e2b'}"
chest_gyro_stats_ica12_ep10,Chest-gyro + stats + ICA12 + epoch10,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats_ica12,outputs/generated/gemma_2act_chest_gyro_stats_ica12_ep10,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica12_ep10_standardized_overlay_purple.png,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica12_ep10_standardized_overlay_purple.pdf,"[305, 256, 3]","[299, 256, 3]","{'walking': 190, 'running': 115}","{'walking': 186, 'running': 113}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']","{'real_walking': '#7b3fb2', 'real_running': '#2f7d32', 'synthetic_walking': '#2c7fb8', 'synthetic_running': '#f28e2b'}"
chest_gyro_stats_ica6_ep5,Chest-gyro + stats + ICA6 + epoch5,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats,outputs/generated/gemma_2act_chest_gyro_stats,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica6_ep5_standardized_overlay_purple.png,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica6_ep5_standardized_overlay_purple.pdf,"[305, 256, 3]","[283, 256, 3]","{'walking': 190, 'running': 115}","{'walking': 171, 'running': 112}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']","{'real_walking': '#7b3fb2', 'real_running': '#2f7d32', 'synthetic_walking': '#2c7fb8', 'synthetic_running': '#f28e2b'}"
chest_gyro_stats_ica6_ep10,Chest-gyro + stats + ICA6 + epoch10,artifacts/pamap2_sdforger_dataset_2act_chest_gyro_stats,outputs/generated/gemma_2act_chest_gyro_stats_ep10,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica6_ep10_standardized_overlay_purple.png,outputs/plots/selected_ica_result_overlays/chest_gyro_stats_ica6_ep10_standardized_overlay_purple.pdf,"[305, 256, 3]","[303, 256, 3]","{'walking': 190, 'running': 115}","{'walking': 188, 'running': 115}","['chest_gyro_x', 'chest_gyro_y', 'chest_gyro_z']","{'real_walking': '#7b3fb2', 'real_running': '#2f7d32', 'synthetic_walking': '#2c7fb8', 'synthetic_running': '#f28e2b'}"
