candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
251,0,[],72,kept
252,0,[],72,kept
253,0,[],72,kept
254,0,[],72,kept
255,0,[],72,kept
256,0,[],72,kept
257,0,[],72,kept
258,0,[],72,kept
259,0,[],72,kept
260,0,[],72,kept
261,0,[],72,kept
262,0,[],72,kept
263,0,[],72,kept
264,0,[],72,kept
265,0,[],72,kept
266,0,[],72,kept
267,0,[],72,kept
268,0,[],72,kept
269,0,[],72,kept
270,0,[],72,kept
271,0,[],72,kept
272,0,[],72,kept
273,0,[],72,kept
274,0,[],72,kept
275,0,[],72,kept
276,0,[],72,kept
277,0,[],72,kept
278,0,[],72,kept
279,0,[],72,kept
280,0,[],72,kept
281,0,[],72,kept
282,0,[],72,kept
283,0,[],72,kept
284,0,[],72,kept
285,0,[],72,kept
286,0,[],72,kept
287,0,[],72,kept
288,0,[],72,kept
289,0,[],72,kept
290,0,[],72,kept
291,0,[],72,kept
292,0,[],72,kept
293,0,[],72,kept
294,0,[],72,kept
295,0,[],72,kept
296,0,[],72,kept
297,0,[],72,kept
298,0,[],72,kept
299,0,[],72,kept
300,0,[],72,kept
301,0,[],72,kept
302,0,[],72,kept
303,0,[],72,kept
304,0,[],72,kept
305,0,[],72,kept
306,0,[],72,kept
307,0,[],72,kept
308,0,[],72,kept
309,0,[],72,kept
310,0,[],72,kept
311,0,[],72,kept
312,0,[],72,kept
313,0,[],72,kept
314,0,[],72,kept
315,0,[],72,kept
316,0,[],72,kept
317,0,[],72,kept
318,0,[],72,kept
319,0,[],72,kept
320,0,[],72,kept
321,0,[],72,kept
322,0,[],72,kept
323,0,[],72,kept
324,0,[],72,kept
325,0,[],72,kept
326,0,[],72,kept
327,0,[],72,kept
328,0,[],72,kept
329,0,[],72,kept
330,0,[],72,kept
331,0,[],72,kept
332,0,[],72,kept
333,0,[],72,kept
334,0,[],72,kept
335,0,[],72,kept
336,0,[],72,kept
337,0,[],72,kept
338,0,[],72,kept
339,0,[],72,kept
340,0,[],72,kept
341,0,[],72,kept
342,0,[],72,kept
343,0,[],72,kept
344,0,[],72,kept
345,0,[],72,kept
346,0,[],72,kept
347,0,[],72,kept
348,0,[],72,kept
349,0,[],72,kept
350,0,[],72,kept
351,0,[],72,kept
352,0,[],72,kept
353,0,[],72,kept
354,0,[],72,kept
355,0,[],72,kept
356,0,[],72,kept
357,0,[],72,kept
358,0,[],72,kept
359,0,[],72,kept
360,0,[],72,kept
361,0,[],72,kept
362,0,[],72,kept
363,0,[],72,kept
364,0,[],72,kept
365,0,[],72,kept
366,0,[],72,kept
367,0,[],72,kept
368,0,[],72,kept
369,0,[],72,kept
370,0,[],72,kept
371,0,[],72,kept
372,0,[],72,kept
373,0,[],72,kept
374,0,[],72,kept
375,0,[],72,kept
376,0,[],72,kept
377,0,[],72,kept
378,0,[],72,kept
379,0,[],72,kept
380,0,[],72,kept
381,0,[],72,kept
382,0,[],72,kept
383,0,[],72,kept
384,0,[],72,kept
385,0,[],72,kept
386,0,[],72,kept
387,0,[],72,kept
388,0,[],72,kept
389,0,[],72,kept
390,0,[],72,kept
391,0,[],72,kept
392,0,[],72,kept
393,0,[],72,kept
394,0,[],72,kept
395,0,[],72,kept
396,0,[],72,kept
397,0,[],72,kept
398,0,[],72,kept
399,0,[],72,kept
400,0,[],72,kept
401,0,[],72,kept
402,0,[],72,kept
403,0,[],72,kept
404,0,[],72,kept
405,0,[],72,kept
406,0,[],72,kept
407,0,[],72,kept
408,0,[],72,kept
409,0,[],72,kept
410,0,[],72,kept
411,0,[],72,kept
412,0,[],72,kept
413,0,[],72,kept
414,0,[],72,kept
415,0,[],72,kept
416,0,[],72,kept
417,0,[],72,kept
418,0,[],72,kept
419,0,[],72,kept
420,0,[],72,kept
421,0,[],72,kept
422,0,[],72,kept
423,0,[],72,kept
424,0,[],72,kept
425,0,[],72,kept
426,0,[],72,kept
427,0,[],72,kept
428,0,[],72,kept
429,0,[],72,kept
430,0,[],72,kept
431,0,[],72,kept
432,0,[],72,kept
433,0,[],72,kept
434,0,[],72,kept
435,0,[],72,kept
436,0,[],72,kept
437,0,[],72,kept
438,0,[],72,kept
439,0,[],72,kept
440,0,[],72,kept
441,0,[],72,kept
442,0,[],72,kept
443,0,[],72,kept
444,0,[],72,kept
445,0,[],72,kept
446,0,[],72,kept
447,0,[],72,kept
448,0,[],72,kept
449,0,[],72,kept
450,0,[],72,kept
451,0,[],72,kept
452,0,[],72,kept
453,0,[],72,kept
454,0,[],72,kept
455,0,[],72,kept
456,0,[],72,kept
457,0,[],72,kept
458,0,[],72,kept
459,0,[],72,kept
460,0,[],72,kept
461,0,[],72,kept
462,0,[],72,kept
463,0,[],72,kept
464,0,[],72,kept
465,0,[],72,kept
466,0,[],72,kept
467,0,[],72,kept
468,0,[],72,kept
469,0,[],72,kept
470,0,[],72,kept
471,0,[],72,kept
472,0,[],72,kept
473,0,[],72,kept
474,0,[],72,kept
475,0,[],72,kept
476,0,[],72,kept
477,0,[],72,kept
478,0,[],72,kept
479,0,[],72,kept
480,0,[],72,kept
481,0,[],72,kept
482,0,[],72,kept
483,0,[],72,kept
484,0,[],72,kept
485,0,[],72,kept
486,0,[],72,kept
487,0,[],72,kept
488,0,[],72,kept
489,0,[],72,kept
490,0,[],72,kept
491,0,[],72,kept
492,0,[],72,kept
493,0,[],72,kept
494,0,[],72,kept
495,0,[],72,kept
496,0,[],72,kept
497,0,[],72,kept
498,0,[],72,kept
499,0,[],72,kept
500,0,[],72,kept
501,0,[],72,kept
502,0,[],72,kept
503,0,[],72,kept
504,0,[],72,kept
505,0,[],72,kept
506,0,[],72,kept
507,0,[],72,kept
508,0,[],72,kept
509,0,[],72,kept
510,0,[],72,kept
511,0,[],72,kept
512,0,[],72,kept
513,0,[],72,kept
514,0,[],72,kept
515,0,[],72,kept
516,0,[],72,kept
517,0,[],72,kept
518,0,[],72,kept
519,0,[],72,kept
520,0,[],72,kept
521,0,[],72,kept
522,0,[],72,kept
523,0,[],72,kept
524,0,[],72,kept
525,0,[],72,kept
526,0,[],72,kept
527,0,[],72,kept
528,0,[],72,kept
529,0,[],72,kept
530,0,[],72,kept
531,0,[],72,kept
532,0,[],72,kept
533,0,[],72,kept
534,0,[],72,kept
535,0,[],72,kept
536,0,[],72,kept
537,0,[],72,kept
538,0,[],72,kept
539,0,[],72,kept
540,0,[],72,kept
541,0,[],72,kept
542,0,[],72,kept
543,0,[],72,kept
544,0,[],72,kept
545,0,[],72,kept
546,0,[],72,kept
547,0,[],72,kept
548,0,[],72,kept
549,0,[],72,kept
550,0,[],72,kept
551,0,[],72,kept
552,0,[],72,kept
553,0,[],72,kept
554,0,[],72,kept
555,0,[],72,kept
556,0,[],72,kept
557,0,[],72,kept
558,0,[],72,kept
559,0,[],72,kept
560,0,[],72,kept
561,0,[],72,kept
562,0,[],72,kept
563,0,[],72,kept
564,0,[],72,kept
565,0,[],72,kept
566,0,[],72,kept
567,0,[],72,kept
568,0,[],72,kept
569,0,[],72,kept
570,0,[],72,kept
571,0,[],72,kept
572,0,[],72,kept
573,0,[],72,kept
574,0,[],72,kept
575,0,[],72,kept
576,0,[],72,kept
577,0,[],72,kept
578,0,[],72,kept
579,0,[],72,kept
580,0,[],72,kept
581,0,[],72,kept
582,0,[],72,kept
583,0,[],72,kept
584,0,[],72,kept
585,0,[],72,kept
586,0,[],72,kept
587,0,[],72,kept
588,0,[],72,kept
589,0,[],72,kept
590,0,[],72,kept
591,0,[],72,kept
592,0,[],72,kept
593,0,[],72,kept
594,0,[],72,kept
595,0,[],72,kept
596,0,[],72,kept
597,0,[],72,kept
598,0,[],72,kept
599,0,[],72,kept
600,0,[],72,kept
601,0,[],72,kept
602,0,[],72,kept
603,0,[],72,kept
604,0,[],72,kept
605,0,[],72,kept
606,0,[],72,kept
607,0,[],72,kept
608,0,[],72,kept
609,0,[],72,kept
610,0,[],72,kept
611,0,[],72,kept
612,0,[],72,kept
613,0,[],72,kept
614,0,[],72,kept
615,0,[],72,kept
616,0,[],72,kept
617,0,[],72,kept
618,0,[],72,kept
619,0,[],72,kept
620,0,[],72,kept
621,0,[],72,kept
622,0,[],72,kept
623,0,[],72,kept
624,0,[],72,kept
625,0,[],72,kept
626,0,[],72,kept
627,0,[],72,kept
628,0,[],72,kept
629,0,[],72,kept
630,0,[],72,kept
631,0,[],72,kept
632,0,[],72,kept
633,0,[],72,kept
634,0,[],72,kept
635,0,[],72,kept
636,0,[],72,kept
637,0,[],72,kept
638,0,[],72,kept
639,0,[],72,kept
640,0,[],72,kept
641,0,[],72,kept
642,0,[],72,kept
643,0,[],72,kept
644,0,[],72,kept
645,0,[],72,kept
646,0,[],72,kept
647,0,[],72,kept
648,0,[],72,kept
649,0,[],72,kept
650,0,[],72,kept
651,0,[],72,kept
652,0,[],72,kept
653,0,[],72,kept
654,0,[],72,kept
655,0,[],72,kept
656,0,[],72,kept
657,0,[],72,kept
658,0,[],72,kept
659,0,[],72,kept
660,0,[],72,kept
661,0,[],72,kept
662,0,[],72,kept
663,0,[],72,kept
664,0,[],72,kept
665,0,[],72,kept
666,0,[],72,kept
667,0,[],72,kept
668,0,[],72,kept
669,0,[],72,kept
670,0,[],72,kept
671,0,[],72,kept
672,0,[],72,kept
673,0,[],72,kept
674,0,[],72,kept
675,0,[],72,kept
676,0,[],72,kept
677,0,[],72,kept
678,0,[],72,kept
679,0,[],72,kept
680,0,[],72,kept
681,0,[],72,kept
682,0,[],72,kept
683,0,[],72,kept
684,0,[],72,kept
685,0,[],72,kept
686,0,[],72,kept
687,0,[],72,kept
688,0,[],72,kept
689,0,[],72,kept
690,0,[],72,kept
691,0,[],72,kept
692,0,[],72,kept
693,0,[],72,kept
694,0,[],72,kept
695,0,[],72,kept
696,0,[],72,kept
697,0,[],72,kept
698,0,[],72,kept
699,0,[],72,kept
700,0,[],72,kept
701,0,[],72,kept
702,0,[],72,kept
703,0,[],72,kept
704,0,[],72,kept
705,0,[],72,kept
706,0,[],72,kept
707,0,[],72,kept
708,0,[],72,kept
709,0,[],72,kept
710,0,[],72,kept
711,0,[],72,kept
712,0,[],72,kept
713,0,[],72,kept
714,0,[],72,kept
715,0,[],72,kept
716,0,[],72,kept
717,0,[],72,kept
718,0,[],72,kept
719,0,[],72,kept
720,0,[],72,kept
721,0,[],72,kept
722,0,[],72,kept
723,0,[],72,kept
724,0,[],72,kept
725,0,[],72,kept
726,0,[],72,kept
727,0,[],72,kept
728,0,[],72,kept
729,0,[],72,kept
730,0,[],72,kept
731,0,[],72,kept
732,0,[],72,kept
733,0,[],72,kept
734,0,[],72,kept
735,0,[],72,kept
736,0,[],72,kept
737,0,[],72,kept
738,0,[],72,kept
739,0,[],72,kept
740,0,[],72,kept
741,0,[],72,kept
742,0,[],72,kept
743,0,[],72,kept
744,0,[],72,kept
745,0,[],72,kept
746,0,[],72,kept
747,0,[],72,kept
748,0,[],72,kept
749,0,[],72,kept
750,0,[],72,kept
751,0,[],72,kept
752,0,[],72,kept
753,0,[],72,kept
754,0,[],72,kept
755,0,[],72,kept
756,0,[],72,kept
757,0,[],72,kept
758,0,[],72,kept
759,0,[],72,kept
760,0,[],72,kept
761,0,[],72,kept
762,0,[],72,kept
763,0,[],72,kept
764,0,[],72,kept
765,0,[],72,kept
766,0,[],72,kept
767,0,[],72,kept
768,0,[],72,kept
769,0,[],72,kept
770,0,[],72,kept
771,0,[],72,kept
772,0,[],72,kept
773,0,[],72,kept
774,0,[],72,kept
775,0,[],72,kept
776,0,[],72,kept
777,0,[],72,kept
778,0,[],72,kept
779,0,[],72,kept
780,0,[],72,kept
781,0,[],72,kept
782,0,[],72,kept
783,0,[],72,kept
784,0,[],72,kept
785,0,[],72,kept
786,0,[],72,kept
787,0,[],72,kept
788,0,[],72,kept
789,0,[],72,kept
790,0,[],72,kept
791,0,[],72,kept
792,0,[],72,kept
793,0,[],72,kept
794,0,[],72,kept
795,0,[],72,kept
796,0,[],72,kept
797,0,[],72,kept
798,0,[],72,kept
799,0,[],72,kept
800,0,[],72,kept
801,0,[],72,kept
802,0,[],72,kept
803,0,[],72,kept
804,0,[],72,kept
805,0,[],72,kept
806,0,[],72,kept
807,0,[],72,kept
808,0,[],72,kept
809,0,[],72,kept
810,0,[],72,kept
811,0,[],72,kept
812,0,[],72,kept
813,0,[],72,kept
814,0,[],72,kept
815,0,[],72,kept
816,0,[],72,kept
817,0,[],72,kept
818,0,[],72,kept
819,0,[],72,kept
820,0,[],72,kept
821,0,[],72,kept
822,0,[],72,kept
823,0,[],72,kept
824,0,[],72,kept
825,0,[],72,kept
826,0,[],72,kept
827,0,[],72,kept
828,0,[],72,kept
829,0,[],72,kept
830,0,[],72,kept
831,0,[],72,kept
832,0,[],72,kept
833,0,[],72,kept
834,0,[],72,kept
835,0,[],72,kept
836,0,[],72,kept
837,0,[],72,kept
838,0,[],72,kept
839,0,[],72,kept
840,0,[],72,kept
841,0,[],72,kept
842,0,[],72,kept
843,0,[],72,kept
844,0,[],72,kept
845,0,[],72,kept
846,0,[],72,kept
847,0,[],72,kept
848,0,[],72,kept
849,0,[],72,kept
850,0,[],72,kept
851,0,[],72,kept
852,0,[],72,kept
853,0,[],72,kept
854,0,[],72,kept
855,0,[],72,kept
856,0,[],72,kept
