base,real_baseline_num_per_side,real_baseline_ED,real_baseline_DTW,real_baseline_MDD,real_baseline_ACD,real_baseline_SD,real_baseline_KD
chest,152,27.801892280578613,31.832782135694895,0.016494691371917725,0.15323078970819953,0.011897250078618526,0.24563274044584804
chest_acc,152,27.61069393157959,56.19789067997287,0.03869307041168213,0.13333701520550464,0.005954080959782004,0.08280705289916881
chest_gyro,152,3.209659069776535,7.467673591416921,0.005702895112335682,0.1731245642108944,0.017840417101979256,0.4084584279925273
full,152,81.1251163482666,65.94627576646376,0.012896284461021423,0.13400967164720984,0.009085406549274921,0.3922468109255045
hand,152,46.65707015991211,61.03399825384258,0.025191903114318848,0.1258484913811776,0.00619857176207006,0.5084984696820445
hand_acc,152,45.347083568573,100.33930618005495,0.0457608699798584,0.1302015360046624,0.0024284725659526885,0.7921538612882125
hand_gyro,152,10.906134247779846,21.728690327630225,0.008131979499012232,0.12149544675769282,0.00996867148205638,0.2248430780758764
