synthetic_index,candidate_id,prompt_window_id,real_index,activity_name,rmse_to_prompt_real,mae_to_prompt_real,stats_score,max_channel_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,plot
0,294,5906,294,running,1.807957410812378,1.466396689414978,0.4616675997888533,1.0243847802910433,0.3168793885747971,0.321404398069134,1.0317704256564042,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/00_running_candidate294_prompt5906.png
1,244,5856,244,running,2.019746780395508,1.6259483098983765,0.48587680227036,0.7684734995551994,0.3397606878856904,0.3716104274731167,1.0066417806341856,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/01_running_candidate244_prompt5856.png
2,295,5907,295,running,1.4805713891983032,1.1817258596420288,0.4962758936079756,0.8621850172175269,0.2786611390212254,0.4336202205842613,1.0568167488289044,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/02_running_candidate295_prompt5907.png
3,278,5890,278,running,1.70969820022583,1.3523362874984741,0.4995365061661865,0.9106766242835648,0.4764777994445506,0.2974149409827567,0.9498970499763174,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/03_running_candidate278_prompt5890.png
4,279,5891,279,running,2.197819709777832,1.7646733522415161,0.5054923679917998,1.023209159111611,0.4569410085880264,0.2727390775312799,1.0681016677203858,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/04_running_candidate279_prompt5891.png
57,51,5472,51,walking,0.6988183856010437,0.518413245677948,0.4627633659283687,0.8970579091693066,0.4019514681291118,0.2686513386751477,0.9726112160333246,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/05_walking_candidate51_prompt5472.png
58,133,5554,133,walking,0.5421883463859558,0.4369630515575409,0.4957865705604324,1.3569077204896374,0.3916365008007321,0.3496502598330864,0.9963593315345248,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/06_walking_candidate133_prompt5554.png
59,157,5578,157,walking,0.9557406902313232,0.7192592620849609,0.5074634479934094,1.5128590976195246,0.6373576657697261,0.2029059492181416,0.8567900099913115,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/07_walking_candidate157_prompt5578.png
60,43,5464,43,walking,0.5919681191444397,0.4527771472930908,0.5189668073812506,1.3048610275157175,0.4377262626313812,0.3824493076878703,0.9544828962677496,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/08_walking_candidate43_prompt5464.png
61,136,5557,136,walking,0.8526063561439514,0.5977485775947571,0.542353406325969,1.5456182686995523,0.4739758115369432,0.3390404068153512,1.085734594925256,outputs/plots/stats_filter_extra_single_generated_by_channel/hand_stats_base_stats_medium_p50/09_walking_candidate136_prompt5557.png
