variant,epoch,valid_generated / 305,generated_running,generated_walking,MDD,ACD,SD,KD,ED,DTW,SHR,ED_vs_real_baseline,DTW_vs_real_baseline,synthetic_only accuracy,synthetic_only macro_f1,real_plus_synthetic accuracy,real_plus_synthetic macro_f1
hand_stats,5epoch,301/305,113,188,0.0630153732519281,1.1369529676173724,0.7803871931463823,1.962581950673615,99.98126317962873,4164.68661109466,23.1627918464518,2.142896303538856,68.23552004201953,0.9278688524590164,0.9246541501976284,0.9704918032786886,0.9686461295959976
hand_stats_ep10,10epoch,261/305,107,154,0.068667925719985,1.0892607211102647,0.7011489594323329,2.58176600032078,102.59970106128776,4450.815669033011,21.42132681507628,2.1990172273920816,72.92354747139306,0.8459016393442623,0.8437244491927307,0.9704918032786886,0.9684268641952588
hand_stats_ep20,20epoch,284/305,104,180,0.0626580258081375,1.1168962155012114,0.5675362749500834,2.2043505353401893,103.15824347791764,4427.679061903923,23.09940055149076,2.2109884552191943,72.54447010810348,0.921311475409836,0.9186666666666669,0.9573770491803278,0.9547110760831076
chest_gyro_stats,5epoch,283/305,112,171,0.3459901154149617,1.8560447548795944,0.4934765547772121,1.7522951104338622,10.742923782739256,230.31517536348707,0.7180749492468765,3.3470607155442234,30.84162323701496,0.4491803278688525,0.4116836594103058,0.9540983606557376,0.9504272313550663
chest_gyro_stats_ep10,10epoch,303/305,115,188,0.349143007899109,1.8438018963236216,0.582121414749462,2.4116247479346,10.487112729866867,223.4010295097016,0.7465345622813517,3.267360333880261,29.91574642020653,0.3737704918032787,0.2983438723276121,0.9573770491803278,0.9538787237259942
chest_gyro_stats_ep20,20epoch,271/305,84,187,0.3071565036348068,1.8639466380653216,0.5085510149193232,1.5663013090675824,11.672715569048057,247.40680085510843,1.1567537944837605,3.6367462447844163,33.13037157106987,0.5639344262295082,0.5537845537845538,0.9573770491803278,0.9538787237259942
chest_stats_ep5,5epoch,270/305,107,163,0.2031295465285021,1.7868104003165357,0.6061601428684655,2.023881428603341,44.525435533966416,1561.8158744114492,22.17963945582489,1.6015253596630277,49.06312831074059,0.3704918032786885,0.292958562735439,0.9672131147540984,0.9644522144522144
chest_stats_ep10,10epoch,303/305,114,189,0.1713804251018436,2.028953857619096,0.6460783626936927,1.7297307799032375,48.460031940422034,1656.2288650314674,25.77363437361613,1.743047971388424,52.029032774182085,0.3704918032786885,0.2858536585365854,0.9639344262295082,0.9608193485851756
chest_stats_ep20,20epoch,222/305,98,124,0.1857648812068466,1.796005280124526,0.5863700131081009,1.9895491630340836,46.85771100775359,1554.5036796561203,30.17494889891442,1.685414450745379,48.83342188030171,0.3737704918032787,0.3016746382805289,0.9672131147540984,0.9644522144522144
chest_acc_stats_ep5,5epoch,280/305,101,179,0.0652440342282891,2.0195248233303573,0.818758166669975,1.9771742218285824,76.49746536942992,1716.9717543475458,66.6138605429378,2.7705738058954155,30.55224553044336,0.3704918032786885,0.2963568201480342,0.9672131147540984,0.9644522144522144
chest_acc_stats_ep10,10epoch,284/305,100,184,0.0608425044829975,1.888214370253423,0.5822898071721702,0.916852150584334,77.76916537389158,1554.4494792167543,83.527639543235,2.8166320472280306,27.660281558765163,0.4754098360655737,0.4488117827776272,0.9672131147540984,0.9644522144522144
chest_acc_stats_ep20,20epoch,294/305,104,190,0.0544939797017458,1.7247250263775342,0.6311447071318893,1.9138578823080616,80.90218077084194,1486.825421612548,81.8618183722514,2.9301031321893176,26.456961348949793,0.3770491803278688,0.3069508228090318,0.9672131147540984,0.9644522144522144
