sensor,epoch,ICA,valid,running,walking,ED,DTW,ED/real,DTW/real,syn_acc,real_syn_acc,syn_f1,real_syn_f1
chest_gyro,5,3,253/305,103,150,2.356719732284546,9.004730470570697,0.7342585866755708,1.205828074880029,0.3770491803278688,0.9573770491803278,0.2896194959301755,0.9540561523041448
chest_gyro,5,6,283/305,112,171,1.4962295591831207,5.529288575189033,0.4661646382546456,0.7404298684859767,0.4491803278688525,0.9540983606557376,0.4116836594103058,0.9504272313550663
chest_gyro,5,12,302/305,114,188,1.8267762064933777,6.1618327585892985,0.569149609594069,0.8251341844495573,0.898360655737705,0.9639344262295082,0.8939796593444792,0.960974304691226
chest_gyro,5,18,259/305,100,159,1.9348973035812376,6.997539563846658,0.6028357721232835,0.9370441112864629,0.5901639344262295,0.9540983606557376,0.5829915231063714,0.9504272313550663
chest_gyro,10,3,285/305,106,179,2.851717382669449,12.177947808721608,0.8884798418381529,1.6307552358365676,0.380327868852459,0.9639344262295082,0.2914910092058849,0.9611244365650456
chest_gyro,10,6,303/305,115,188,1.6744282841682434,5.940470383987607,0.5216841564063132,0.7954914353534912,0.3737704918032787,0.9573770491803278,0.2983438723276121,0.9538787237259942
chest_gyro,10,12,299/305,113,186,2.431747019290924,6.206799381228241,0.7576340559622828,0.8311556879457233,0.9639344262295082,0.9639344262295082,0.9608193485851756,0.960974304691226
chest_gyro,10,18,236/305,89,147,2.001983046531677,8.096730583230965,0.6237369773578663,1.084237344350061,0.8590163934426229,0.9508196721311476,0.8412631171251861,0.9467831427607626
chest_gyro,20,3,287/305,111,176,1.8926982879638672,6.281463325717293,0.5896882649581975,0.8411539750394265,0.3770491803278688,0.960655737704918,0.2896194959301755,0.9576702442635086
chest_gyro,20,6,271/305,84,187,1.995507836341858,7.588686857367671,0.6217195636547126,1.016204948498263,0.5639344262295082,0.9573770491803278,0.5537845537845538,0.9538787237259942
chest_gyro,20,12,281/305,108,173,1.7750533819198608,6.829013399479057,0.5530348686047346,0.914476686196901,0.8557377049180328,0.9475409836065574,0.8525274725274725,0.943345407262933
chest_gyro,20,18,179/305,68,111,2.5668538212776184,11.688050737022422,0.7997278731090681,1.5651528677493687,0.5311475409836065,0.9573770491803278,0.5171111923030082,0.9540561523041448
hand,5,3,237/305,89,148,214.79730606079104,678.7705377607297,4.60374612731996,11.121187488614112,0.3770491803278688,0.9737704918032788,0.2896194959301755,0.9718842182890854
hand,5,6,301/305,113,188,182.5319366455078,566.8798610355782,3.91220314563043,9.287935859582795,0.9278688524590164,0.9704918032786886,0.9246541501976284,0.9686461295959976
hand,5,12,178/305,55,123,179.5319366455078,558.731651191134,3.8479042089479973,9.154433056594934,0.9278688524590164,0.9704918032786886,0.9239780658025922,0.9685383213561188
hand,5,18,184/305,56,128,184.1416358947754,595.5500400535141,3.9467037956659015,9.757676984827377,0.9442622950819672,0.9639344262295082,0.941859813188908,0.9616786028395528
hand,10,3,238/305,94,144,201.72319412231445,626.9550797374565,4.323528962082913,10.272226917363792,0.3770491803278688,0.9639344262295082,0.2932926829268293,0.961546837213034
hand,10,6,261/305,107,154,212.78128814697263,633.4653610450041,4.560536857922873,10.378893390047937,0.8459016393442623,0.9704918032786886,0.8437244491927307,0.9684268641952588
hand,10,12,258/305,90,168,189.35645294189453,605.9966138124291,4.058472859373629,9.928836896643531,0.9278688524590164,0.9737704918032788,0.9246541501976284,0.9719849361623956
hand,10,18,294/305,106,188,182.32646942138672,550.2155885396156,3.907799370952404,9.014903238867776,0.9540983606557376,0.9737704918032788,0.9517710309930424,0.9720823798627004
hand,20,3,158/305,56,102,206.4649314880371,645.0302056398359,4.425158518964022,10.568375398857736,0.7344262295081967,0.9770491803278688,0.7344262295081967,0.9753535353535354
hand,20,6,284/305,104,180,207.3875732421875,631.6676809203345,4.444933480207583,10.349439640070868,0.921311475409836,0.9573770491803278,0.9186666666666669,0.9547110760831076
hand,20,12,56/305,42,14,199.75328063964844,616.6278349551915,4.281307847985643,10.103022128594857,0.940983606557377,0.9737704918032788,0.9383533956162416,0.9719849361623956
hand,20,18,254/305,85,169,191.10111236572263,582.6785288060782,4.0958661079820065,9.546786143399903,0.9508196721311476,0.9672131147540984,0.9475638689268644,0.9651029748283751
