setting name,filtered setting,filter,keep fraction target,group,channels,num_channels,window_size,stride,ICA dim,epoch,kept generated count,source valid generated count,kept/source valid rate,total prompt count,kept/prompt rate,stats_score_mean,stats_score_median,stats_score_max,synthetic-only HAR accuracy,real-only HAR accuracy,real-plus-synthetic HAR accuracy,MDD,ACD,SD,KD,ED,ED_ref,ED/ref,DTW,DTW_ref,DTW/ref,SHR
2act_hand_stats_ica12_win128_ep5,gemma_2act_hand_stats_ica12_win128_ep5_stats_p25,stats_p25,0.25,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,5,77,307,0.250814332247557,666,0.11561561561561562,0.5047099417367723,0.508037028763854,0.5503275860662817,0.951951951951952,0.9774774774774776,0.9774774774774776,0.1244876562441704,0.6678958764649954,0.3787312547790792,0.6189082661210794,79.63214381707681,74.12829122568169,1.0742476657749842,2373.349486722293,1262.7353455393263,1.879530413959081,9.002206671105384
2act_hand_stats_ica12_win128_ep5,gemma_2act_hand_stats_ica12_win128_ep5_stats_p50,stats_p50,0.5,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,5,154,307,0.501628664495114,666,0.23123123123123124,0.534674172167583,0.5440826073864022,0.5913334638138836,0.9444444444444444,0.9774774774774776,0.972972972972973,0.0828501098636894,0.6863805509674641,0.565681714588728,0.7795899679225564,76.03909399960492,74.12829122568169,1.025776970470098,2294.955148980364,1262.7353455393263,1.8174474620413565,8.156802538604435
2act_hand_stats_ica12_win128_ep5,gemma_2act_hand_stats_ica12_win128_ep5_stats_p75,stats_p75,0.75,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,5,231,307,0.752442996742671,666,0.34684684684684686,0.5609365631063721,0.5652286391152844,0.6474268576500797,0.9429429429429428,0.9774774774774776,0.972972972972973,0.0622154467496655,0.7028210984453249,0.6543133324744153,2.0026003471448006,75.77403530086482,74.12829122568169,1.0222012951866475,2288.065241300899,1262.7353455393263,1.8119911265520523,7.885982099999743
2act_hand_stats_ica12_win128_ep10,gemma_2act_hand_stats_ica12_win128_ep10_stats_p25,stats_p25,0.25,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,10,6,21,0.2857142857142857,666,0.009009009009009009,0.5176805449936578,0.5235102818459239,0.5413049957744727,0.9594594594594594,0.9774774774774776,0.9774774774774776,0.3771927585056665,0.8855724935964373,0.3908266503069856,0.4428917177268047,77.18714396158855,74.12829122568169,1.041264309285024,2278.392217516899,1262.7353455393263,1.8043307535228421,16.418746838599922
2act_hand_stats_ica12_win128_ep10,gemma_2act_hand_stats_ica12_win128_ep10_stats_p50,stats_p50,0.5,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,10,11,21,0.5238095238095238,666,0.016516516516516516,0.5434892795471784,0.5413049957744727,0.5917019792776069,0.9534534534534534,0.9774774774774776,0.9774774774774776,0.2811708812096786,0.8766828547583746,0.3374893207078346,0.7147959575302557,77.4530658086141,74.12829122568169,1.0448516285477325,2275.0191213746866,1262.7353455393263,1.8016594921582751,22.59758278589942
2act_hand_stats_ica12_win128_ep10,gemma_2act_hand_stats_ica12_win128_ep10_stats_p75,stats_p75,0.75,hand,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z,hand_gyro_x,hand_gyro_y,hand_gyro_z",6,128,64,12,10,17,21,0.8095238095238095,666,0.025525525525525526,0.568920910685376,0.5846478508708675,0.639745444743033,0.9504504504504504,0.9774774774774776,0.9774774774774776,0.2247555094962712,0.8400204237856939,0.4294756986957619,0.6497941965134324,76.97579187817044,74.12829122568169,1.0384131430174157,2316.3143809686103,1262.7353455393263,1.8343625124228151,16.274470446170387
2act_hand_acc_stats_ica12_win128_ep5,gemma_2act_hand_acc_stats_ica12_win128_ep5_stats_p25,stats_p25,0.25,hand_acc,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z",3,128,64,12,5,92,363,0.2534435261707989,666,0.13813813813813813,0.8137999361383436,0.8326064356641915,1.0715784710812284,0.9429429429429428,0.975975975975976,0.9624624624624624,0.0653010261883116,0.7752276378114606,0.7000240761091283,2.3435123937230564,111.29224335864711,112.73807616680861,0.9871752928795572,1930.4756493570908,1133.8322985075492,1.7026112696720266,13.136227380289029
2act_hand_acc_stats_ica12_win128_ep5,gemma_2act_hand_acc_stats_ica12_win128_ep5_stats_p50,stats_p50,0.5,hand_acc,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z",3,128,64,12,5,182,363,0.5013774104683195,666,0.2732732732732733,0.9069431144765393,0.8734569848073023,1.3185802890352238,0.9444444444444444,0.975975975975976,0.9624624624624624,0.0449483236126901,0.9602183181682686,0.9285610549532852,2.943275695197479,108.39768463811832,112.73807616680861,0.9615002164639727,1914.5337444170536,1133.8322985075492,1.6885510731500002,9.56792175103733
2act_hand_acc_stats_ica12_win128_ep5,gemma_2act_hand_acc_stats_ica12_win128_ep5_stats_p75,stats_p75,0.75,hand_acc,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z",3,128,64,12,5,273,363,0.7520661157024794,666,0.4099099099099099,0.9945954602712469,0.9164337464572867,1.5995808155778568,0.93993993993994,0.975975975975976,0.954954954954955,0.0386540488417358,0.7823770201218132,0.9691479575649636,2.9077231624832724,109.90585285219652,112.73807616680861,0.9748778459690806,1961.7853782424677,1133.8322985075492,1.7302253435757156,9.748406782812644
2act_hand_acc_stats_ica12_win128_ep10,gemma_2act_hand_acc_stats_ica12_win128_ep10_stats_p25,stats_p25,0.25,hand_acc,"hand_acc_16g_x,hand_acc_16g_y,hand_acc_16g_z",3,128,64,12,10,164,650,0.2523076923076923,666,0.24624624624624625,0.9405660167909652,1.021458687616272,1.2605779991803652,0.948948948948949,0.975975975975976,0.96996996996997,0.0460294634538134,1.064075472967056,0.8389980770043897,3.308617232566571,111.12887174900354,112.73807616680861,0.9857261674802391,1975.9771173855995,1133.8322985075492,1.7427419557429755,16.190186026805463
