model,model_key,subset,subset_key,num_prompts,num_generated,retention_rate,after_missing_filter,after_norm_filter,duplicate_ratio,synthetic_only_accuracy,real_only_accuracy,real_plus_synthetic_accuracy,augmentation_accuracy_delta,synthetic_only_macro_f1,real_plus_synthetic_macro_f1,overall_MDD,overall_ACD,overall_SD,overall_KD,overall_ED,overall_DTW
GPT-2,gpt2,Hand + chest + ankle,all,857,0,0.0,0,0,,,,,,,,,,,,,
GPT-2,gpt2,Hand,hand,857,57,0.06651108518086347,57,57,0.0,0.676779463243874,0.926487747957993,0.9229871645274212,-0.003500583430571802,0.6818253769790245,0.9247112821371092,1.738899540901184,0.2997933883174281,0.0157656451687216,9.6589665347734,186.09520568847657,634.8138061520299
GPT-2,gpt2,Chest,chest,857,13,0.015169194865810968,13,13,0.0,0.3838973162193699,0.9451575262543758,0.941656942823804,-0.003500583430571802,0.3354285240189164,0.9426608273023944,0.2476124167442321,0.3517900169278266,0.0261381935328245,2.8012192896936265,78.47590637207031,178.2938265323018
GPT-2,gpt2,Hand + chest,hand_chest,857,749,0.8739789964994166,839,749,0.0,0.704784130688448,0.9591598599766628,0.9206534422403734,-0.03850641773628938,0.654303186614716,0.9227767589684548,1.4011418104171751,0.3023486254969166,0.0148427987471222,19.16409346070235,239.35295333862305,412.56533128816847
Gemma 2 2B LoRA,gemma,Hand + chest + ankle,all,857,857,1.0,857,857,0.0,0.3500583430571762,0.9148191365227538,0.912485414235706,-0.002333722287047868,0.3453835609833144,0.9136131219993604,0.8113917946815491,0.2867962516792856,0.0139535875990986,52.27516279839214,183.7505844116211,282.1362575826671
Gemma 2 2B LoRA,gemma,Hand,hand,857,362,0.4224037339556593,379,362,0.0,0.2578763127187864,0.926487747957993,0.9253208868144692,-0.001166861143523823,0.2533163517257366,0.926274401272449,1.8841078460216525,0.2649325560090051,0.0117071373388171,31.930109489169144,143.23144454956054,498.4749670658619
Gemma 2 2B LoRA,gemma,Chest,chest,857,695,0.8109684947491248,698,695,0.0,0.1376896149358226,0.9451575262543758,0.9474912485414236,0.002333722287047868,0.0780839116720258,0.9484495772403808,0.3632933378219604,0.3188491940188634,0.0151576496660709,22.74468325158559,31.464655685424805,109.98935271594478
Gemma 2 2B LoRA,gemma,Hand + chest,hand_chest,857,857,1.0,857,857,0.0,0.5997666277712952,0.9591598599766628,0.9568261376896148,-0.002333722287047979,0.5651250082357414,0.9563971937794836,0.8726910710334778,0.2893136190964278,0.0128698704764246,23.454819042580617,158.1302406311035,289.1921068497196
