candidate_id,missing_numeric_fields,missing_columns,parsed_numeric_fields,filter_reason
119,1,['value_35'],35,missing_fields
120,4,"['value_32', 'value_33', 'value_34', 'value_35']",32,missing_fields
121,1,['value_35'],35,missing_fields
122,1,['value_35'],35,missing_fields
123,0,[],36,kept
124,1,['value_35'],35,missing_fields
125,1,['value_35'],35,missing_fields
126,0,[],36,kept
127,1,['value_35'],35,missing_fields
128,0,[],36,kept
129,0,[],36,kept
130,0,[],36,kept
131,1,['value_35'],35,missing_fields
132,36,"['value_0', 'value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",0,missing_fields
133,1,['value_35'],35,missing_fields
134,0,[],36,kept
135,0,[],36,kept
136,1,['value_35'],35,missing_fields
137,0,[],36,kept
138,1,['value_35'],35,missing_fields
139,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
140,28,"['value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",8,missing_fields
141,0,[],36,kept
142,1,['value_35'],35,missing_fields
143,1,['value_35'],35,missing_fields
144,0,[],36,kept
145,0,[],36,kept
146,1,['value_35'],35,missing_fields
147,10,"['value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",26,missing_fields
148,1,['value_35'],35,missing_fields
149,1,['value_35'],35,missing_fields
150,1,['value_35'],35,missing_fields
151,0,[],36,norm_filter
152,1,['value_35'],35,missing_fields
153,23,"['value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",13,missing_fields
154,1,['value_35'],35,missing_fields
155,1,['value_35'],35,missing_fields
156,0,[],36,kept
157,34,"['value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",2,missing_fields
158,1,['value_35'],35,missing_fields
159,0,[],36,kept
160,0,[],36,norm_filter
161,0,[],36,kept
162,1,['value_35'],35,missing_fields
163,23,"['value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",13,missing_fields
164,0,[],36,kept
165,10,"['value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",26,missing_fields
166,2,"['value_34', 'value_35']",34,missing_fields
167,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
168,0,[],36,kept
169,0,[],36,kept
170,0,[],36,kept
171,0,[],36,kept
172,1,['value_35'],35,missing_fields
173,22,"['value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",14,missing_fields
174,1,['value_35'],35,missing_fields
175,23,"['value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",13,missing_fields
176,0,[],36,kept
177,0,[],36,kept
178,3,"['value_33', 'value_34', 'value_35']",33,missing_fields
179,1,['value_35'],35,missing_fields
180,1,['value_35'],35,missing_fields
181,0,[],36,kept
182,1,['value_35'],35,missing_fields
183,36,"['value_0', 'value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",0,missing_fields
184,0,[],36,kept
185,1,['value_35'],35,missing_fields
186,1,['value_35'],35,missing_fields
187,1,['value_35'],35,missing_fields
188,1,['value_35'],35,missing_fields
189,1,['value_35'],35,missing_fields
190,0,[],36,kept
191,32,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",4,missing_fields
192,29,"['value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",7,missing_fields
193,0,[],36,kept
194,1,['value_35'],35,missing_fields
195,1,['value_35'],35,missing_fields
196,1,['value_35'],35,missing_fields
197,1,['value_35'],35,missing_fields
198,1,['value_35'],35,missing_fields
199,2,"['value_34', 'value_35']",34,missing_fields
200,1,['value_35'],35,missing_fields
201,1,['value_35'],35,missing_fields
202,1,['value_35'],35,missing_fields
203,1,['value_35'],35,missing_fields
204,0,[],36,kept
205,1,['value_35'],35,missing_fields
206,1,['value_35'],35,missing_fields
207,1,['value_35'],35,missing_fields
208,1,['value_35'],35,missing_fields
209,0,[],36,kept
210,1,['value_35'],35,missing_fields
211,1,['value_35'],35,missing_fields
212,0,[],36,kept
213,1,['value_35'],35,missing_fields
214,0,[],36,kept
215,1,['value_35'],35,missing_fields
216,1,['value_35'],35,missing_fields
217,1,['value_35'],35,missing_fields
218,1,['value_35'],35,missing_fields
219,29,"['value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",7,missing_fields
220,1,['value_35'],35,missing_fields
221,1,['value_35'],35,missing_fields
222,1,['value_35'],35,missing_fields
223,33,"['value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",3,missing_fields
224,0,[],36,kept
225,0,[],36,kept
226,1,['value_35'],35,missing_fields
227,1,['value_35'],35,missing_fields
228,0,[],36,kept
229,0,[],36,kept
230,1,['value_35'],35,missing_fields
231,0,[],36,kept
232,0,[],36,kept
233,1,['value_35'],35,missing_fields
234,0,[],36,kept
235,0,[],36,kept
236,1,['value_35'],35,missing_fields
237,1,['value_35'],35,missing_fields
238,0,[],36,kept
239,0,[],36,kept
240,1,['value_35'],35,missing_fields
241,0,[],36,kept
242,1,['value_35'],35,missing_fields
243,1,['value_35'],35,missing_fields
244,1,['value_35'],35,missing_fields
245,1,['value_35'],35,missing_fields
246,1,['value_35'],35,missing_fields
247,0,[],36,kept
248,0,[],36,kept
249,2,"['value_34', 'value_35']",34,missing_fields
250,1,['value_35'],35,missing_fields
251,0,[],36,kept
252,1,['value_35'],35,missing_fields
253,1,['value_35'],35,missing_fields
254,0,[],36,kept
255,2,"['value_34', 'value_35']",34,missing_fields
256,0,[],36,kept
257,0,[],36,kept
258,33,"['value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",3,missing_fields
259,0,[],36,kept
260,0,[],36,kept
261,32,"['value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",4,missing_fields
262,1,['value_35'],35,missing_fields
263,0,[],36,kept
264,0,[],36,kept
265,0,[],36,kept
266,0,[],36,kept
267,13,"['value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",23,missing_fields
268,16,"['value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",20,missing_fields
269,0,[],36,kept
270,0,[],36,kept
271,1,['value_35'],35,missing_fields
272,1,['value_35'],35,missing_fields
273,0,[],36,kept
274,1,['value_35'],35,missing_fields
275,1,['value_35'],35,missing_fields
276,0,[],36,kept
277,30,"['value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",6,missing_fields
278,1,['value_35'],35,missing_fields
279,0,[],36,kept
280,0,[],36,kept
281,1,['value_35'],35,missing_fields
282,1,['value_35'],35,missing_fields
283,1,['value_35'],35,missing_fields
284,1,['value_35'],35,missing_fields
285,0,[],36,kept
286,1,['value_35'],35,missing_fields
287,0,[],36,kept
288,0,[],36,kept
289,1,['value_35'],35,missing_fields
290,0,[],36,kept
291,0,[],36,kept
292,0,[],36,kept
293,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
294,1,['value_35'],35,missing_fields
295,1,['value_35'],35,missing_fields
296,1,['value_35'],35,missing_fields
297,1,['value_35'],35,missing_fields
298,0,[],36,kept
299,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
300,0,[],36,kept
301,1,['value_35'],35,missing_fields
302,1,['value_35'],35,missing_fields
303,1,['value_35'],35,missing_fields
304,1,['value_35'],35,missing_fields
305,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
306,1,['value_35'],35,missing_fields
307,0,[],36,kept
308,1,['value_35'],35,missing_fields
309,1,['value_35'],35,missing_fields
310,1,['value_35'],35,missing_fields
311,0,[],36,kept
312,1,['value_35'],35,missing_fields
313,1,['value_35'],35,missing_fields
314,1,['value_35'],35,missing_fields
315,1,['value_35'],35,missing_fields
316,1,['value_35'],35,missing_fields
317,1,['value_35'],35,missing_fields
318,36,"['value_0', 'value_1', 'value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",0,missing_fields
319,0,[],36,kept
320,1,['value_35'],35,missing_fields
321,0,[],36,kept
322,1,['value_35'],35,missing_fields
323,0,[],36,kept
324,1,['value_35'],35,missing_fields
325,1,['value_35'],35,missing_fields
326,1,['value_35'],35,missing_fields
327,0,[],36,kept
328,3,"['value_33', 'value_34', 'value_35']",33,missing_fields
329,0,[],36,kept
330,1,['value_35'],35,missing_fields
331,0,[],36,kept
332,0,[],36,kept
333,1,['value_35'],35,missing_fields
334,4,"['value_32', 'value_33', 'value_34', 'value_35']",32,missing_fields
335,1,['value_35'],35,missing_fields
336,0,[],36,kept
337,0,[],36,kept
338,1,['value_35'],35,missing_fields
339,0,[],36,kept
340,1,['value_35'],35,missing_fields
341,1,['value_35'],35,missing_fields
342,0,[],36,kept
343,2,"['value_34', 'value_35']",34,missing_fields
344,1,['value_35'],35,missing_fields
345,1,['value_35'],35,missing_fields
346,1,['value_35'],35,missing_fields
347,1,['value_35'],35,missing_fields
348,1,['value_35'],35,missing_fields
349,0,[],36,kept
350,1,['value_35'],35,missing_fields
351,1,['value_35'],35,missing_fields
352,1,['value_35'],35,missing_fields
353,2,"['value_34', 'value_35']",34,missing_fields
354,1,['value_35'],35,missing_fields
355,0,[],36,kept
356,0,[],36,kept
357,0,[],36,kept
358,1,['value_35'],35,missing_fields
359,0,[],36,kept
360,1,['value_35'],35,missing_fields
361,0,[],36,kept
362,0,[],36,kept
363,0,[],36,kept
364,0,[],36,kept
365,34,"['value_2', 'value_3', 'value_4', 'value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",2,missing_fields
366,0,[],36,kept
367,1,['value_35'],35,missing_fields
368,0,[],36,kept
369,0,[],36,kept
370,0,[],36,kept
371,2,"['value_34', 'value_35']",34,missing_fields
372,1,['value_35'],35,missing_fields
373,0,[],36,kept
374,1,['value_35'],35,missing_fields
375,0,[],36,kept
376,1,['value_35'],35,missing_fields
377,0,[],36,kept
378,0,[],36,kept
379,0,[],36,kept
380,1,['value_35'],35,missing_fields
381,0,[],36,kept
382,0,[],36,kept
383,1,['value_35'],35,missing_fields
384,1,['value_35'],35,missing_fields
385,3,"['value_33', 'value_34', 'value_35']",33,missing_fields
386,0,[],36,kept
387,0,[],36,kept
388,1,['value_35'],35,missing_fields
389,0,[],36,kept
390,0,[],36,kept
391,0,[],36,kept
392,31,"['value_5', 'value_6', 'value_7', 'value_8', 'value_9', 'value_10', 'value_11', 'value_12', 'value_13', 'value_14', 'value_15', 'value_16', 'value_17', 'value_18', 'value_19', 'value_20', 'value_21', 'value_22', 'value_23', 'value_24', 'value_25', 'value_26', 'value_27', 'value_28', 'value_29', 'value_30', 'value_31', 'value_32', 'value_33', 'value_34', 'value_35']",5,missing_fields
393,0,[],36,kept
394,0,[],36,kept
395,0,[],36,kept
