generated_index,candidate_id,prompt_window_id,real_index,activity_name,chest_gyro_x_mean_zerr,chest_gyro_x_std_relerr,chest_gyro_x_range_zerr,chest_gyro_x_stats_score,chest_gyro_y_mean_zerr,chest_gyro_y_std_relerr,chest_gyro_y_range_zerr,chest_gyro_y_stats_score,chest_gyro_z_mean_zerr,chest_gyro_z_std_relerr,chest_gyro_z_range_zerr,chest_gyro_z_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,stats_score,max_channel_stats_score
0,0,5421,0,walking,0.6062526666756831,0.1987904703075236,1.2571207330082401,0.5734414013949307,1.3858016080716076,0.38757038204108957,0.7232697527198231,0.8540027465890434,0.5934290466485199,0.9830179711182913,1.2851654909275196,0.8876119052922284,0.8618277737986034,0.5231262744889681,1.0885186588851943,0.7716853510920675,0.8876119052922284
1,1,5422,1,walking,0.7218535288616463,0.0574440023413411,0.8674960434436797,0.48521822116993096,0.7687421009458344,0.7188098923913363,0.7099902270169092,0.7370188427382502,0.3741063780562822,0.38486273898634793,1.6331082934210468,0.6302093055012614,0.6215673359545876,0.3870388779063418,1.0701981879605453,0.6174821231364809,0.7370188427382502
2,2,5423,2,walking,0.11671235951884042,2.526266278891728,4.536418120066325,1.9644750793774926,0.5814263367967119,1.1160514979228942,1.73803109509941,1.0265973529077244,1.4257138887277017,5.3462744538600635,8.54272646170396,4.417340629375898,0.7079508616810847,2.996197410224895,4.939058558956565,2.469471020553705,4.417340629375898
3,3,5424,3,walking,0.24966655679480737,2.375440678268513,3.482822927848372,1.7466074795950028,1.2964505762169043,0.1403530348617186,1.0842896523754213,0.7915793749065334,0.6876463495194912,0.6264719888567924,1.0026300340890884,0.7261733421683312,0.7445878275104009,1.0474219006623413,1.856580871437627,1.0881200655566223,1.7466074795950028
4,4,5425,4,walking,0.39033911319090686,0.40763696180571113,0.8079973984202113,0.48078990968268953,0.7383800189403658,0.3042372233044785,0.45519275932537073,0.5080854487630119,0.4587328088843924,1.0441374717614589,2.2984150862082453,1.0608311294999897,0.5291506470052217,0.5853372189572162,1.187201747984609,0.683235495981897,1.0608311294999897
5,5,5426,5,walking,0.06382989221788282,0.2300912017527694,0.4698659848982764,0.21154163456791616,0.6536182298772806,0.5950667119659153,0.6416656077787236,0.6278070982930231,0.10714930383058695,0.07359730280362639,0.8180298797900858,0.23590461861170253,0.2748658086419168,0.29958507217410374,0.6431871574890285,0.35841778382421396,0.6278070982930231
6,6,5427,6,walking,0.1510348926494076,0.41716041382710645,0.653088126212928,0.3578957478331912,0.6365917638155799,0.05689348120234802,0.22622611604887863,0.32263932121694694,0.0119389146566391,0.7281067505311432,1.2046933053584583,0.5369569271468047,0.2665218570405422,0.40072021518686585,0.6946691825400882,0.4058306653989809,0.5369569271468047
7,7,5428,7,walking,0.04401966123967557,1.2392293085923067,1.5202005054499652,0.817339689022786,0.09307132790015601,0.6757478953071956,0.936392838576378,0.4948062569982163,0.17090456937469026,0.25497230493797446,0.4991775290021356,0.270186255525493,0.10266518617150729,0.7233165029458256,0.9852569576761595,0.5274440671821651,0.817339689022786
8,8,5429,8,walking,0.12600986793881558,0.507985176610165,0.8927701203549496,0.4321520418905822,0.09543555788695811,0.5510185621678829,0.38710801055034,0.3360032501320044,0.22053923639644876,0.6344797979925098,0.8225370321896478,0.506515020193513,0.1473282207407408,0.5644945122568524,0.7008050543649791,0.42489010407203315,0.506515020193513
9,9,5430,9,walking,0.022945097676841667,0.7096350813125816,1.0047554616970866,0.49398316393518665,0.027313708886504175,1.463749423623085,2.1499791145324707,1.0264210759103298,0.07717539431556823,0.4077136440882607,0.47331217886909605,0.28861805113535083,0.042478066959638024,0.8603660496746425,1.2093489183662178,0.6030074303269558,1.0264210759103298
10,10,5431,10,walking,0.25574349317970857,0.4767227730075061,1.517238901035996,0.5964342866820851,0.5671316353108384,1.2456976149579602,2.0801353677571246,1.1411587736589444,0.23060512044536532,0.006139342464617888,0.25543350034685275,0.14578448523336385,0.35116008297863743,0.576186576810028,1.2842692563799911,0.6277925151914645,1.1411587736589444
11,11,5432,11,walking,0.098786148449613,0.9369756595955956,1.2947323819001517,0.6732511995981139,1.0760203042120302,0.34611804530305673,1.0298343631456481,0.7748222124351645,0.2184673888752094,0.10947498984825917,0.127517058299138,0.15668036314921505,0.46442461384561756,0.4641895649156372,0.8173612677816461,0.5349179250608311,0.7748222124351645
12,12,5433,12,walking,0.026673430952282456,0.45276958634191594,1.4001288876334073,0.4718029844443608,0.11014581492627001,0.21578503995535364,1.053002122415596,0.3409727664357687,0.043385299783328495,0.053700011352012834,0.3741024280416555,0.11365461006246763,0.060068181887293653,0.24075154588309414,0.9424111460302197,0.3088101203141991,0.4718029844443608
13,13,5434,13,walking,0.2062966669930352,0.20803872744242347,0.5840368705325657,0.28254153188069664,0.7608686482757948,0.9027783662946393,0.7167150608236857,0.8088018179929108,0.12495771928990702,0.12396866956828861,0.0544337597266084,0.11045730748859994,0.36404101151957896,0.41159525443511713,0.45172856369428666,0.4006002191207358,0.8088018179929108
14,14,5435,14,walking,0.0914885239043367,1.4562193713056932,2.309467943436509,1.0809767467713138,0.5172016460084755,5.857904119523688,9.99773238724731,4.549588783662328,0.29758209008840647,0.04592157159961246,0.06929175208949426,0.15125981509310643,0.3020907533337396,2.453348354142998,4.125497360924438,1.9272751151755827,4.549588783662328
15,15,5436,15,walking,0.025921766936037056,0.4520606559341874,0.9192862767896217,0.37505022450601416,0.8636336046947193,1.985064297506254,2.64807216598563,1.6690935940775153,0.04759971763041153,0.29299532580296983,0.439809233048568,0.22419986398306618,0.3123850297537226,0.9100400930811371,1.33572255860794,0.756114560855532,1.6690935940775153
16,16,5437,16,walking,0.17573138674100242,0.04810992876688648,1.1342213915105452,0.3163808045052646,1.0066249665897058,1.8570105302009698,2.9237729228155134,1.730208783279373,0.011219315357989416,0.4000906268891215,0.5134636200328737,0.26721670090541916,0.39785855622956584,0.7684036952856593,1.5238193114529774,0.7712687628966856,1.730208783279373
17,17,5438,17,walking,0.09904687996610441,0.04823954194885873,0.8624782448335719,0.23141021773269965,0.5413507641762417,1.5288163837502582,3.068873658192687,1.4418415908091373,0.14530268668356836,0.5124536810569392,0.9462614858034745,0.452354844256898,0.26190011027530485,0.6965032022520187,1.625871129609911,0.7085355509329117,1.4418415908091373
18,18,5439,18,walking,0.0014848006582351457,0.27830690351025805,0.17786507131496151,0.1474896959303896,0.012598325204158186,0.556957459104234,0.6672889149707297,0.36128009671750283,0.18347780415397918,0.2674682333083923,0.6837733063155305,0.3171330762480547,0.06585364333879083,0.3675775319742948,0.509642430867074,0.27530095629864904,0.36128009671750283
19,19,5440,19,walking,0.02512675890887993,0.04732557310574305,0.6022521965745568,0.14943137212076055,0.03960846019809356,1.1532710336705543,2.451418138483665,0.9674354252441921,0.07689112111265901,0.3647620364834991,0.9133196405217618,0.35932519114281564,0.04720878007321083,0.5217862144199322,1.3223299918599944,0.49206399616925617,0.9674354252441921
20,20,5441,20,walking,0.018330981053652304,0.2382867355500498,0.11734312003658666,0.12611571064879817,0.20148845314979552,1.118454818372373,1.481448615921868,0.8242670317932411,0.2441604392869132,0.04020887187549036,1.085521791236741,0.3308520827123096,0.15465995783012035,0.4656501419326377,0.8947711757317318,0.4270782750514496,0.8242670317932411
