activity_name,num_real,num_synthetic,MDD,ACD,SD,KD,ED,DTW
cycling,24,24,0.13591492176055908,0.36544509153423715,0.019631775096058846,3.8246872878237803,46.970985412597656,200.16663267287854
running,6,6,3.4078807830810547,0.28793485905759997,0.020358452573418617,1.2980747697357733,390.0257873535156,1131.2589896675975
sitting,8,8,1.4025306701660156,0.3499045403260257,0.016390779986977577,16.167744560977642,236.4190216064453,850.8442667598914
standing,6,6,2.092527389526367,0.3001594553215557,0.011975869536399841,26.20588084603337,143.6936492919922,546.9930511521258
walking,13,13,1.6556439399719238,0.19552299534772197,0.010471348650753498,0.7984452092964406,113.36658477783203,444.80609050765634
overall_mean,57,57,1.738899540901184,0.2997933883174281,0.015765645168721677,9.6589665347734,186.09520568847657,634.8138061520299
