generated_index,candidate_id,prompt_window_id,real_index,activity_name,chest_gyro_x_mean_zerr,chest_gyro_x_std_relerr,chest_gyro_x_range_zerr,chest_gyro_x_stats_score,chest_gyro_y_mean_zerr,chest_gyro_y_std_relerr,chest_gyro_y_range_zerr,chest_gyro_y_stats_score,chest_gyro_z_mean_zerr,chest_gyro_z_std_relerr,chest_gyro_z_range_zerr,chest_gyro_z_stats_score,mean_zerr_avg,std_relerr_avg,range_zerr_avg,stats_score,max_channel_stats_score
270,275,5887,275,running,0.02343445728489706,0.04913079068246862,1.6991819233649517,0.36886248385993664,0.1001531639173779,0.1413832846914854,0.5698732209903516,0.21058922364161564,0.1196342352937466,0.19523098292931487,0.2691262827524804,0.17977134383972068,0.08107395216534052,0.12858168610108964,0.8460604757025947,0.25307435044709103,0.36886248385993664
254,259,5871,259,running,0.015326895663011247,0.08082050267611934,0.706068097354569,0.17967257880656604,0.06221506707928676,0.4018878861889509,0.325203594014442,0.2506819001101835,0.004541239511209187,0.4287876580471179,0.9162237034194847,0.3565762997072278,0.02736106741783573,0.30383201563739604,0.6491651315961652,0.26231025954132575,0.3565762997072278
242,247,5859,247,running,0.026408765647460312,0.02006093924644435,1.238320548764149,0.2662519917103917,0.1958136996106496,0.10117794596959674,0.5996945487128363,0.23873556797466583,0.15068340575315928,0.48304233281435494,0.2853873761719612,0.31056777066139796,0.12430195700375639,0.20142707267679869,0.7078008245496489,0.27185177678215183,0.31056777066139796
273,278,5890,278,running,0.025380233256040236,0.18762548637824614,1.6968606202640404,0.4245744119065227,0.08322513809602851,0.31666614286575584,0.9379360810389502,0.3475437285925038,0.03520266703896589,0.02947194926388606,0.4710577626328367,0.12008139904770813,0.04793601279701154,0.17792119283596267,1.0352848213119425,0.29739984651557816,0.4245744119065227
238,243,5855,243,running,0.039736080131155344,0.04200634300778809,1.0980357115193065,0.25230411155943866,0.005867043905825518,0.2066398896171418,0.8160055754204985,0.24820388849328665,0.11409253358631437,0.4139150701633446,0.918316701594053,0.3948663818186742,0.05323188587443175,0.22085376759609152,0.944119329511286,0.2984581272904665,0.3948663818186742
222,227,5839,227,running,0.04055435027874692,0.2014162137474812,1.4984469850298388,0.396477622616459,0.10891821089107824,0.1864792529909993,0.9514041076614057,0.3084398070851122,0.09902397149057507,0.04160541390283255,0.7372875481791572,0.2037092637931945,0.08283217755346674,0.14316696021377104,1.0623795469568007,0.30287556449825526,0.396477622616459
268,273,5885,273,running,0.08106568599462198,0.16611811949967406,1.1009612077218147,0.3190657637420814,0.09234697522477973,0.34755987987629994,0.9723102771855829,0.3704247974775485,0.22263410684836935,0.027081003539825198,0.6194661611433414,0.22377927638394612,0.1320155893559237,0.1802530009719331,0.8975792153502464,0.30442327920119205,0.3704247974775485
272,277,5889,277,running,0.02274717981715186,0.5070399244858198,1.2963748006030587,0.47118980184180037,0.18280494070124592,0.23696858021451608,0.24754107588234683,0.21741762354277416,0.18718395063539792,0.11574113790628611,0.5345892795029177,0.22808789131725715,0.1309120237179319,0.28658321420220734,0.6928350519961078,0.30556510556727723,0.47118980184180037
224,229,5841,229,running,0.04508458507714595,0.2596617188300222,1.8185391801190744,0.4856063575866822,0.2077459329384163,0.09558560142069625,0.7218550391211188,0.2657036215678688,0.03500270861934857,0.14428744425621967,0.47127002962065256,0.16597006707435782,0.09594440887830362,0.16651158816897937,1.0038880829536152,0.30576001540963627,0.4856063575866822
250,255,5867,255,running,0.04387695467833317,0.3974782120097767,2.491291334845803,0.6748003336444046,0.13427814112039743,0.08704437522978231,0.29246890160345257,0.14702278686076242,0.08393713202033388,0.10121865413690871,0.21822425487794372,0.11770716543848579,0.08736407593968816,0.19524708045882255,1.0006614971090666,0.31317676198121763,0.6748003336444046
192,197,5809,197,running,0.0494731068611145,0.04751795932559152,1.9249319927824056,0.42378282503116355,0.3303062109297155,0.08656048431525691,0.9104097327572322,0.3488286246494354,0.0814895954170673,0.1728007900629113,0.40923763307736083,0.18356368080746363,0.15375630440263244,0.10229307790125323,1.081526452872333,0.3187250434960209,0.42378282503116355
